"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"TOP (mm)";"GND1 (mm)";"S1 (mm)";"PW1 (mm)";"S2 (mm)";"GND2 (mm)";"PW2 (mm)";"BOT (mm)";
513;"HOST_PCIE2_CLK_P";2;1;1.0397;60.8137;0.0000;61.8534;59.5844;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2293;
514;"/IO/25MHZ_P1I";3;1;1.0397;12.9114;0.0000;13.9511;0.8081;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.1033;
515;"/IO/25MHZ_P1O";3;1;1.0397;5.1723;0.0000;6.2120;0.8048;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.3675;
516;"/IO/25MHZ_P2I";3;1;1.0397;10.8868;0.0000;11.9265;0.7841;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;10.1027;
517;"/IO/25MHZ_P2O";3;1;1.0397;7.1812;0.0000;8.2209;0.7874;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;6.3937;
518;"/MPU/U2_TX_P";2;0;0.0000;9.2191;0.0000;9.2191;9.2191;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
519;"HOST_PCIE2_CLK_N";2;1;1.0397;60.8137;0.0000;61.8534;59.5844;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.2293;
520;"HOST_PCIE1_CLK_N";2;2;1.0397;67.6432;0.0000;68.6829;0.8901;0.0000;65.4997;0.0000;0.0000;0.0000;0.0000;1.2534;
521;"/MPU/pi2_N";2;0;0.0000;6.9342;0.0000;6.9342;6.9342;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
522;"/MPU/pi_P";2;1;1.0397;3.3518;0.0000;4.3915;1.2304;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2.1214;
523;"/MPU/pi_N";2;1;1.0397;3.3484;0.0000;4.3881;0.9332;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;2.4152;
524;"Net-(D7-A)";4;0;0.0000;7.2134;0.0000;7.2134;7.2134;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
525;"Net-(D9-K)";3;0;0.0000;14.1340;0.0000;14.1340;14.1340;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
526;"/IO/PCIE1_REQ";2;0;0.0000;4.1091;0.0000;4.1091;4.1091;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
527;"/IO/PCIE2_REQ";2;0;0.0000;4.9655;0.0000;4.9655;4.9655;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
528;"PCIE2_nCLKREQ";3;3;1.2010;93.5684;0.0000;94.7694;3.5266;0.0000;39.8674;0.0000;50.1744;0.0000;0.0000;0.0000;
529;"PCIE1_nCLKREQ";3;2;1.2010;32.5537;0.0000;33.7547;13.0907;0.0000;0.0000;0.0000;19.4630;0.0000;0.0000;0.0000;
530;"/MPU/U2_TX_N";2;0;0.0000;9.2191;0.0000;9.2191;9.2191;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
531;"/MPU/U2_RX_N";2;0;0.0000;7.4135;0.0000;7.4135;7.4135;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
532;"Net-(C287-Pad1)";4;0;0.0000;3.4500;0.0000;3.4500;3.4500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
533;"Net-(C288-Pad1)";4;0;0.0000;4.2250;0.0000;4.2250;4.2250;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
534;"Net-(C289-Pad1)";4;0;0.0000;4.8627;0.0000;4.8627;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.8627;
535;"Net-(C290-Pad1)";4;0;0.0000;3.8831;0.0000;3.8831;3.8831;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
536;"Net-(C327-Pad1)";3;0;0.0000;4.3520;0.0000;4.3520;4.3520;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
537;"Net-(D10-K)";2;0;0.0000;1.5377;0.0000;1.5377;1.5377;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
538;"Net-(D11-A)";4;0;0.0000;5.0608;0.0000;5.0608;5.0608;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
539;"/MPU/U2_RX_P";2;0;0.0000;7.4135;0.0000;7.4135;7.4135;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
540;"Net-(U17-RX_CLK)";2;0;0.0000;1.1642;0.0000;1.1642;1.1642;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
541;"Net-(U17-RX_DV/RX_CTL)";2;0;0.0000;1.2009;0.0000;1.2009;1.2009;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
542;"Net-(U17-RXD0)";2;0;0.0000;1.2535;0.0000;1.2535;1.2535;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
543;"Net-(U17-RXD1)";2;0;0.0000;1.3535;0.0000;1.3535;1.3535;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
544;"Net-(U17-RXD2)";2;0;0.0000;1.5078;0.0000;1.5078;1.5078;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
545;"Net-(U17-RXD3)";2;0;0.0000;1.8074;0.0000;1.8074;1.8074;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
